section,source_file,old_url,new_url,decision
"core","migration/scraped/getting-started.mdx","/getting-started/index","/get-started/index","migrate"
"core","migration/scraped/getting-started/choose-your-path.mdx","/getting-started/choose-your-path","/get-started/choose-your-path","migrate"
"core","migration/scraped/getting-started/create-account.mdx","/getting-started/create-account","/get-started/create-account","migrate"
"core","migration/scraped/getting-started/create-product.mdx","/getting-started/create-product","/get-started/create-product","migrate"
"core","migration/scraped/getting-started/go-live.mdx","/getting-started/go-live","/get-started/go-live","migrate"
"core","migration/scraped/getting-started/test-in-sandbox.mdx","/getting-started/test-in-sandbox","/get-started/test-in-sandbox","migrate"
"core","migration/scraped/mcp-pay/authentication.mdx","/mcp-pay/authentication","/mcp-pay/authentication","migrate"
"core","migration/scraped/mcp-pay/best-practices.mdx","/mcp-pay/best-practices","/mcp-pay/best-practices","migrate"
"core","migration/scraped/mcp-pay/create-hosted-mcp-pay-product.mdx","/mcp-pay/create-hosted-mcp-pay-product","/mcp-pay/create-hosted-mcp-pay-product","migrate"
"core","migration/scraped/mcp-pay/hosted-pages.mdx","/mcp-pay/hosted-pages","/mcp-pay/hosted-pages","migrate"
"core","migration/scraped/mcp-pay/overview.mdx","/mcp-pay/overview","/mcp-pay/overview","migrate"
"core","migration/scraped/mcp-pay/quick-start.mdx","/mcp-pay/quick-start","/mcp-pay/quick-start","migrate"
"core","migration/scraped/mcp-server/examples.mdx","/mcp-server/examples","/mcp-server/examples","migrate"
"core","migration/scraped/mcp-server/faq.mdx","/mcp-server/faq","/mcp-server/faq","migrate"
"core","migration/scraped/mcp-server/getting-started.mdx","/mcp-server/getting-started","/mcp-server/getting-started","migrate"
"core","migration/scraped/mcp-server/installation.mdx","/mcp-server/installation","/mcp-server/installation","migrate"
"core","migration/scraped/mcp-server/tools.mdx","/mcp-server/tools","/mcp-server/tools","migrate"
"core","migration/scraped/wallet/how-it-works.mdx","/wallet/how-it-works","/wallet/how-it-works","migrate"
"core","migration/scraped/wallet/overview.mdx","/wallet/overview","/wallet/overview","migrate"
"core","migration/scraped/wallet/provider-integration.mdx","/wallet/provider-integration","/wallet/provider-integration","migrate"
"core","migration/scraped/wallet/sdk-integration.mdx","/wallet/sdk-integration","/wallet/sdk-integration","migrate"
"core","migration/scraped/wallet/security.mdx","/wallet/security","/wallet/security","migrate"
"core","migration/scraped/wallet/vouchers.mdx","/wallet/vouchers","/wallet/vouchers","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/examples/overview.mdx","/sdks/typescript/guides/examples","/sdks/typescript/guides/examples","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/getting-started/core-concepts.mdx","/sdks/typescript/setup/core-concepts","/sdks/typescript/setup/core-concepts","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/getting-started/installation.mdx","/sdks/typescript/setup/installation","/sdks/typescript/setup/installation","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/getting-started/introduction.mdx","/sdks/typescript/setup/introduction","/sdks/typescript/setup/introduction","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/getting-started/quick-start.mdx","/sdks/typescript/setup/quick-start","/sdks/typescript/setup/quick-start","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/guides/architecture.mdx","/sdks/typescript/guides/architecture","/sdks/typescript/guides/architecture","drop"
"sdk-typescript","migration/scraped/sdks/typescript/guides/custom-auth.mdx","/sdks/typescript/guides/custom-auth","/sdks/typescript/guides/custom-auth","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/guides/error-handling.mdx","/sdks/typescript/guides/error-handling","/sdks/typescript/guides/error-handling","drop"
"sdk-typescript","migration/scraped/sdks/typescript/guides/express.mdx","/sdks/typescript/guides/express","/sdks/typescript/guides/express","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/guides/mcp.mdx","/sdks/typescript/guides/mcp","/sdks/typescript/guides/mcp","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/guides/nextjs.mdx","/sdks/typescript/guides/nextjs","/sdks/typescript/guides/nextjs","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/guides/performance.mdx","/sdks/typescript/guides/performance","/sdks/typescript/guides/performance","drop"
"sdk-typescript","migration/scraped/sdks/typescript/guides/react.mdx","/sdks/typescript/guides/react","/sdks/typescript/guides/react","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/guides/testing.mdx","/sdks/typescript/guides/testing","/sdks/typescript/guides/testing","drop"
"sdk-typescript","migration/scraped/sdks/typescript/guides/webhooks.mdx","/sdks/typescript/guides/webhooks","/sdks/typescript/guides/webhooks","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/intro.mdx","/sdks/typescript/intro","/sdks/typescript/intro","migrate"
"sdk-typescript","migration/scraped/sdks/typescript/publishing.mdx","/sdks/typescript/publishing","/internal/typescript-sdk/publishing.md","internal-only"
